Zone,Woreda,PHCU,Facility Name,Facility Type,OBJECTID_1,CSA HF Type,X,Y
North Shewa ZHD,Taremaber WorHO,Debiresina PHCU,Wafe Washe Health Post,Health Posts,"8,897",3,585402.1679,1083077.487
North Shewa ZHD,Taremaber WorHO,Debiresina PHCU,Yezaba Health Post,Health Posts,"8,893",3,583979.567,1094009.802
North Shewa ZHD,Taremaber WorHO,Debiresina PHCU,Sina Health Post,Health Posts,"8,908",3,585699.5341,1088908.346
North Shewa ZHD,Taremaber WorHO,Debiresina PHCU,Debermaza Health Post,Health Posts,"8,894",3,582804.6898,1085940.291
North Shewa ZHD,Debere Birhan Town WorHO,Debre Birhan PHCU,Debre Birhan Health Center,Health Centers,"30,267",2,557933.3005,1068832.171
North Shewa ZHD,Debere Birhan Town WorHO,Debre Birhan PHCU,Chole Health Post,Health Posts,"30,057",3,557364.6785,1071195.542
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Gubay PHCU,Addis Zemen Health Post,Health Posts,"10,480",3,382219.0663,1213898.781
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Gubay PHCU,Debre Gubay Health Center,Health Centers,"10,470",2,382023.4725,1218479.256
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Gubay PHCU,Hibre Selam Health Post,Health Posts,"10,484",3,379698.8171,1222708.555
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Gubay PHCU,Debre Gubay Health Post,Health Posts,"10,472",6,381993.2085,1218548.6
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Gubay PHCU,Hizbe selam Health post,Health Posts,"10,483",3,386704.1234,1216957.476
East Gojjam ZHD,Machakel WorHO,Debre Kelmo PHCU,Amare Yewobesh Health Post,Health Posts,"10,960",3,340159.8588,1160726.589
East Gojjam ZHD,Machakel WorHO,Debre Kelmo PHCU,Debre Kelmo Health Center,Health Centers,"10,968",2,348698.9601,1162529.488
East Gojjam ZHD,Debre Markos WorHO,Debre Markos PHCU,Debre Markos Kebele 04 Yemeka Health Post,Health Posts,"31,310",2,360540.0934,1143051.193
East Gojjam ZHD,Debre Markos WorHO,Debre Markos PHCU,Debre Markos Health Center,Health Centers,"31,264",1,360495.1607,1141488.259
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Maryam PHCU,Ayen Birhan Health Post,Health Posts,"10,474",3,375001.0559,1223313.961
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Maryam PHCU,Debre Maryam Health Post,Health Posts,"10,487",3,379862.4049,1229681.996
East Gojjam ZHD,Hulet Eju Nese WorHO,Debre Maryam PHCU,Debre Maryam Health Center,Health Centers,"10,488",2,379891.5883,1229498.5
South Gondar ZHD,Debretabor Town WorHO,Debre Tabor Health Center,Debre Tabor Health Center,Health Centers,"31,727",2,391642.1435,1311345.518
East Gojjam ZHD,Enarge Enawga WorHO,Debre Work PHCU,Dejagamna Health Post,Health Posts,"10,727",6,410954.9627,1181041.815
East Gojjam ZHD,Enarge Enawga WorHO,Debre Work PHCU,Aregamit Kembata Health Post,Health Posts,"10,724",3,413214.6764,1179455.974
East Gojjam ZHD,Enarge Enawga WorHO,Debre Work PHCU,Debre Work Health Center,Health Centers,"31,372",6,408838.8347,1177548.257
North Wollo ZHD,Mekete WorHO,Debre Zebit PHCU,Debre Zebit Health Post,Health Posts,"12,980",3,552397.6145,1309003.551
North Wollo ZHD,Mekete WorHO,Debre Zebit PHCU,Debre Zebit Health Center,Health Centers,"13,186",2,454695.9083,1305609.254
North Wollo ZHD,Mekete WorHO,Debre Zebit PHCU,Berkeza Health Post,Health Posts,"13,137",3,460115.9625,1307773.399
East Gojjam ZHD,Debay Tilatgin WorHO,Debreeyesus PHCU,Shemie Health Post,Health Posts,"10,996",6,373679.9312,1195247.176
East Gojjam ZHD,Debay Tilatgin WorHO,Debreeyesus PHCU,Debreeyesus Health Center,Health Centers,"31,448",2,383171.2938,1171932.165
East Gojjam ZHD,Debay Tilatgin WorHO,Debreeyesus PHCU,Enkoy Health Post,Health Posts,"10,882",3,380981.5188,1176345.416
West Gojjam ZHD,Yilmana Densa WorHO,Debremaws PHCU,Kotti Health Post,Health Posts,"10,309",3,331248.7316,1257829.352
West Gojjam ZHD,Yilmana Densa WorHO,Debremaws PHCU,Debremewi Health Post,Health Posts,"31,010",3,328962.3181,1253070.298
West Gojjam ZHD,Yilmana Densa WorHO,Debremaws PHCU,Kudad Health Post,Health Posts,"10,310",3,327004.7038,1249359.727
West Gojjam ZHD,Yilmana Densa WorHO,Debremaws PHCU,Debremaws Health Center,Health Centers,"31,012",2,328803.9054,1253418.807
Gondar Town Woreda WorHO,Gondar PHCU,Defecha Health Post,Defecha Health Post,Health Posts,"25,278",3,337141.721,1394754.788
East Gojjam ZHD,Machakel WorHO,Dega Segnine PHCU,Dega Segnin Zuria Health Post,Health Posts,"31,520",7,356532.4589,1171210.427
East Gojjam ZHD,Machakel WorHO,Dega Segnine PHCU,Amesig Health Post,Health Posts,"10,984",3,360408.6919,1171398.608
East Gojjam ZHD,Machakel WorHO,Dega Segnine PHCU,Temamagn Health Post,Health Posts,"10,983",3,354677.5654,1165399.317
East Gojjam ZHD,Machakel WorHO,Dega Segnine PHCU,Shafo Galat Health Post,Health Posts,"10,979",3,356657.4798,1174445.49
East Gojjam ZHD,Machakel WorHO,Dega Segnine PHCU,Dega Segnine Health Center,Health Centers,"31,521",2,356928.6261,1171518.291
South Wollo ZHD,Borena WorHO,Degadibi PHCU,Hulagosh Health Post,Health Posts,"11,705",3,475574.2786,1192540.969
South Wollo ZHD,Borena WorHO,Degadibi PHCU,Abu Health Post,Health Posts,"11,722",3,470486.5704,1195770.297
South Wollo ZHD,Borena WorHO,Degadibi PHCU,Degadibi Health Center,Health Centers,"11,724",3,473139.7334,1194903.755
South Wollo ZHD,Borena WorHO,Degadibi PHCU,Dibichere Health Post,Health Posts,"11,720",3,467064.8752,1190200.168
South Wollo ZHD,Albuko WorHO,Degaga PHCU,Degaga Health Center,Health Centers,"31,829",2,569531.5429,1194497.007
South Wollo ZHD,Albuko WorHO,Degaga PHCU,Kalo Health Post,Health Posts,"11,662",3,566825.6521,1187804.294
South Wollo ZHD,Albuko WorHO,Degaga PHCU,Gangota Health Post,Health Posts,"11,651",3,564526.0949,1195177.189
South Wollo ZHD,kallu WorHO,Degan PHCU,Gotu Health Post,Health Posts,"11,890",3,595383.2653,1231535.362
South Wollo ZHD,kallu WorHO,Degan PHCU,Degan Health Center,Health Centers,"11,889",2,597699.7106,1231902.176
South Wollo ZHD,kallu WorHO,Degan PHCU,Arabo Health Post,Health Posts,"11,887",3,598975.2664,1232965.386
South Wollo ZHD,Kelela WorHO,Deger PHCU,Deger Health Center,Health Centers,"31,839",2,498551.6272,1153394.324
South Wollo ZHD,Kelela WorHO,Deger PHCU,Deger Health Post,Health Posts,"31,841",3,497915.3997,1154003.353
Awi ZHD,Ayehu Guagusa,Degera PHCU,Degera Health Post,Health Posts,"9,375",3,267644.7229,1185602.894
Awi ZHD,Ayehu Guagusa,Degera PHCU,Degera Health Center,Health Centers,"9,376",2,267607.763,1185215.086
South Wollo ZHD,Jama WorHO,Degollo 01 Kenema PHCU,Aley Health Post,Health Posts,"11,838",3,523012.5569,1156142.85
South Wollo ZHD,Jama WorHO,Degollo 01 Kenema PHCU,Gerbo Health Post,Health Posts,"11,863",7,530838.5045,1150629.704
Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU,Degoma Health Center,Health Centers,"32,504",2,357677.0269,1370995.824
Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU,Meredo Health Post,Health Posts,"13,448",2,358977.3033,1366276.058
Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU,Yimada Health Post,Health Posts,"13,452",3,356960.0043,1365444.419
North Gondar ZHD,Telemt WorHO,Dejach Meda PHCU,Negade Mesageriya Health Post,Health Posts,"14,235",2,442880.3235,1495204.604
North Gondar ZHD,Telemt WorHO,Dejach Meda PHCU,Ateba Health Post,Health Posts,"14,233",3,437085.0757,1491370.145
North Gondar ZHD,Telemt WorHO,Dejach Meda PHCU,Dejach Meda Health Center,Health Centers,"32,931",2,433748.7628,1487477.345
North Gondar ZHD,Telemt WorHO,Dejach Meda PHCU,Admihret Health Post,Health Posts,"14,237",3,429527.0436,1482474.821
East Gojjam ZHD,Debre Elias WorHO,Dejeba PHCU,Dejeba Health Center,Health Centers,"10,925",2,327003.8696,1133548.466
East Gojjam ZHD,Debre Elias WorHO,Dejeba PHCU,Yeguarat Health Post,Health Posts,"10,910",3,333238.4952,1131168.452
East Gojjam ZHD,Debre Elias WorHO,Dejeba PHCU,Dejeba Health Post,Health Posts,"10,924",3,326903.6163,1133601.575
East Gojjam ZHD,Dejen WorHO,Dejen PHCU,Teden Health Post,Health Posts,"10,955",3,402418.9915,1123290.852
East Gojjam ZHD,Dejen WorHO,Dejen PHCU,Amarit Health Post,Health Posts,"10,954",3,402721.2458,1127088.448
East Gojjam ZHD,Dejen WorHO,Dejen PHCU,Koncher Health Post,Health Posts,"10,956",3,405200.615,1123649.352
East Gojjam ZHD,Dejen WorHO,Dejen PHCU,Dejen Health Center,Health Centers,"31,496",2,406978.8786,1124284.279
Awi ZHD,Jawi,Dek PHCU,Bunijira Health Post,Health Posts,"9,453",3,231957.4317,1247925.047
Awi ZHD,Jawi,Dek PHCU,Zere Genet Health Post,Health Posts,"9,451",3,227937.9037,1245004.903
West Gojjam ZHD,Bahir Dar Zuria WorHO,Dek PHCU,Dek Health Post,Health Posts,"10,008",3,313925.6467,1317575.469
Awi ZHD,Jawi,Dek PHCU,Dek health center,Health Centers,"10,010",2,309307.6487,1314569.409
North Shewa ZHD,Gishe WorHO,Del PHCU,Golta Mezerazir Health Post,Health Posts,"8,920",3,556137.314,1172195.165
North Shewa ZHD,Gishe WorHO,Del PHCU,korebtit Health Post,Health Posts,"8,919",3,560909.8874,1173272.148
North Shewa ZHD,Gishe WorHO,Del PHCU,Del Health Center,Health Centers,"8,918",2,563601.1775,1176049.639
Awi ZHD,Fagitalekoma,Delekes PHCU,Delekes Health center,Health Centers,"9,524",3,258373.7303,1230586.316
Awi ZHD,Fagitalekoma,Delekes PHCU,Dimama Manguda Health Post,Health Posts,"9,621",3,258449.0589,1259688.733
Awi ZHD,Fagitalekoma,Delekes PHCU,Dagi Avola Health Post,Health Posts,"9,525",3,260164.1273,1224169.893
Central Gondar ZHD,Takusa WorHO,Delgi PHCU,Arema Health Post,Health Posts,"32,903",2,378429.2024,1474780.436
Central Gondar ZHD,Takusa WorHO,Delgi PHCU,Bergen Health Post,Health Posts,"13,642",3,324024.1991,1378191.393
South Wollo ZHD,Ambasel WorHO,Deliba PHCU,Tergemama Eyses Health Post,Health Posts,"11,672",3,543033.3637,1270814.79
South Wollo ZHD,Ambasel WorHO,Deliba PHCU,Deliba Health Center,Health Centers,"11,667",2,547672.0493,1271346.512
South Wollo ZHD,Ambasel WorHO,Deliba PHCU,Seinka Health Post,Health Posts,"11,679",3,552438.9278,1273723.423
South Wollo ZHD,Ambasel WorHO,Deliba PHCU,Gishen Health Post,Health Posts,"11,668",3,538619.2455,1272922.346
North Gondar ZHD,Beyeda WorHO,Delyibza PHCU,Delyibza Health Center,Health Centers,"32,905",2,439387.7462,1450142.635
North Gondar ZHD,Beyeda WorHO,Delyibza PHCU,Beyeda Matiba Health Post,Health Posts,"14,088",3,441883.5683,1456070.832
North Gondar ZHD,Beyeda WorHO,Delyibza PHCU,Adilemlem Health Post,Health Posts,"14,082",3,433041.045,1454317.859
North Gondar ZHD,Beyeda WorHO,Delyibza PHCU,Meliba Kara Health Post,Health Posts,"14,075",3,439835.8225,1453231.628
North Gondar ZHD,Beyeda WorHO,Delyibza PHCU,Ayega Health Post,Health Posts,"14,076",3,433798.1554,1450333.495
North Gondar ZHD,Beyeda WorHO,Delyibza PHCU,Abarie Health Post,Health Posts,"14,072",3,435179.5999,1455267.373
West Gojjam ZHD,Gonji Kollela WorHO,Dem Dingay PHCU,Fich Health Post,Health Posts,"10,096",3,358981.7302,1247787.561
West Gojjam ZHD,Gonji Kollela WorHO,Dem Dingay PHCU,Sheba Health Post,Health Posts,"10,101",3,345781.1305,1241490.36
West Gojjam ZHD,Gonji Kollela WorHO,Dem Dingay PHCU,Shebele Health Post,Health Posts,"10,095",3,355469.8306,1247797.364
West Gojjam ZHD,Gonji Kollela WorHO,Dem Dingay PHCU,Dem Dingay Health Center,Health Centers,"10,097",2,350509.2546,1245323.696
West Gojjam ZHD,Gonji Kollela WorHO,Dem Dingay PHCU,Dem Dingay Health Post,Health Posts,"10,099",3,350721.5155,1245580.028
West Gojjam ZHD,Dembecha WorHO,Dembecha PHCU,Dembecha Health Center,Health Centers,"30,901",2,333977.3729,1168505.502
West Gojjam ZHD,Dembecha WorHO,Dembecha PHCU,Shimina Abidender Health Post,Health Posts,"10,078",3,342620.8228,1168846.855
West Gojjam ZHD,Dembecha WorHO,Dembecha PHCU,Godber Health Post,Health Posts,"10,044",3,336689.2625,1173136.03
West Gojjam ZHD,Dembecha WorHO,Dembecha PHCU,Yemehel Health Post,Health Posts,"10,079",3,331040.6037,1166606.861
East Gojjam ZHD,Baso Liben WorHO,Den PHCU,Den Health Post,Health Posts,"10,681",3,356419.5747,1118364.755
East Gojjam ZHD,Baso Liben WorHO,Den PHCU,Dogem Health Post,Health Posts,"10,703",3,359414.3214,1113456.638
North Shewa ZHD,Saya Deberna Wayu WorHO,Deneba PHCU,Abaya Health Post,Health Posts,"8,865",3,524222.93,1076894.634
North Shewa ZHD,Saya Deberna Wayu WorHO,Deneba PHCU,Rome Health Post,Health Posts,"8,864",3,527063.024,1080877.066
North Shewa ZHD,Saya Deberna Wayu WorHO,Deneba PHCU,Welaedenaba Health Post,Health Posts,"8,866",3,521074.2437,1080169.32
Central Gondar ZHD,Alefa WorHO,Dengelber PHCU,Dihura Health Post,Health Posts,"13,422",3,275539.8073,1315165.417
Central Gondar ZHD,Alefa WorHO,Dengelber PHCU,Atuga Health Post,Health Posts,"13,420",3,273929.0692,1322780.773
Central Gondar ZHD,Alefa WorHO,Dengelber PHCU,Ahcha Mangur Health Post,Health Posts,"13,423",3,276796.1584,1318861.218
Central Gondar ZHD,Alefa WorHO,Dengelber PHCU,Eseydebir Health Post,Health Posts,"13,418",3,283744.5749,1328774.599
South Wollo ZHD,Mehal Saint WorHO,Denisa PHCU,Denisa Health Center,Health Centers,"32,003",2,465648.3853,1207869.138
South Wollo ZHD,Mehal Saint WorHO,Denisa PHCU,Sensa Health Post,Health Posts,"12,432",4,460042.2926,1213950.587
South Wollo ZHD,Mehal Saint WorHO,Denisa PHCU,Derew Health Post,Health Posts,"12,414",3,461675.6495,1208461.477
South Wollo ZHD,Mehal Saint WorHO,Denisa PHCU,Alegeta Health Post,Health Posts,"12,419",3,465288.051,1212973.489
South Wollo ZHD,Mehal Saint WorHO,Denisa PHCU,Wojedi Health Post,Health Posts,"12,416",3,469199.4943,1204047.345
West Gojjam ZHD,Yilmana Densa WorHO,Densa Bata PHCU,Dambash Health Post,Health Posts,"10,329",3,324563.468,1246338.187
West Gojjam ZHD,Yilmana Densa WorHO,Densa Bata PHCU,Koker Health Post,Health Posts,"10,330",3,327045.0179,1242847.056
South Wollo ZHD,Legambo WorHO,Dereba PHCU,Ticncha Health Post,Health Posts,"12,386",3,539973.2802,1194692.904
South Wollo ZHD,Legambo WorHO,Dereba PHCU,Dereba Health Post,Health Posts,"12,388",6,543995.5825,1199990.032
South Wollo ZHD,Legambo WorHO,Dereba PHCU,Delel Health Post,Health Posts,"10,450",3,337800.686,1135500.881
South Gondar ZHD,Farta,Deremo PHCU,Kanat Health Post,Health Posts,"11,400",3,397466.8591,1306294.767
South Gondar ZHD,Farta,Deremo PHCU,Deremo Health Center,Health Centers,"11,435",2,394651.0602,1301978.029
South Gondar ZHD,Farta,Deremo PHCU,Deremo Health Post,Health Posts,"11,436",6,394341.0879,1302095.735
South Gondar ZHD,Farta,Deremo PHCU,Semena Health Post,Health Posts,"11,447",3,395739.9485,1297967.506
West Gojjam ZHD,Bure Zuria WorHO,Derequa PHCU,Derequa Health Center,Health Centers,"9,835",2,295240.4827,1191096.307
West Gojjam ZHD,Bure Zuria WorHO,Derequa PHCU,Agni Fereda Health Post,Health Posts,"9,838",3,293834.9363,1193437.742
West Gojjam ZHD,Bure Zuria WorHO,Derequa PHCU,Arbisi Health Post,Health Posts,"9,837",3,297451.7916,1189736.295
West Gojjam ZHD,Bure Zuria WorHO,Derequa PHCU,Jib Gedel Health Post,Health Posts,"9,806",3,291304.0357,1191334.28
Central Gondar ZHD,Wogera WorHO,Dergaj PHCU,Ayiba Health Post,Health Posts,"13,858",3,346370.717,1398993.532
Central Gondar ZHD,Wogera WorHO,Dergaj PHCU,Dabir Health Post,Health Posts,"13,859",6,345395.5796,1404828.075
North Gondar ZHD,Dabat WorHO,Deromamay PHCU,Janbelew Health Post,Health Posts,"14,079",3,431252.1488,1448211.701
North Gondar ZHD,Dabat WorHO,Deromamay PHCU,Amba Health Post,Health Posts,"14,112",3,381954.7282,1437578.143
North Gondar ZHD,Dabat WorHO,Deromamay PHCU,Deromamay Health Center,Health Centers,"14,113",2,381796.6896,1432032.675
North Gondar ZHD,Dabat WorHO,Deromamay PHCU,Defia Health Post,Health Posts,"14,116",3,379299.5501,1433070.526
North Gondar ZHD,Janamora WorHO,Derona PHCU,Genze Health Post,Health Posts,"14,204",3,416208.6498,1444281.257
North Gondar ZHD,Janamora WorHO,Derona PHCU,Gasha Jagerie Health Post,Health Posts,"14,183",3,409783.1919,1439831.419
North Gondar ZHD,Janamora WorHO,Derona PHCU,Derona Health Center,Health Centers,"14,187",6,412609.8575,1447131.645
North Gondar ZHD,Janamora WorHO,Derona PHCU,Sakiba Health Post,Health Posts,"14,229",3,413540.0701,1450812.299
South Gondar ZHD,Estie WorHO,Deskua PHCU,Deskua Health Center,Health Centers,"11,470",2,408377.2605,1286229.909
South Gondar ZHD,Estie WorHO,Deskua PHCU,Dibana Health Post,Health Posts,"11,464",3,409699.7778,1290752.169
South Gondar ZHD,Estie WorHO,Deskua PHCU,Deskua Health Post,Health Posts,"11,468",3,405547.6096,1284743.135
South Gondar ZHD,Estie WorHO,Deskua PHCU,Achekan Health Post,Health Posts,"11,466",3,404668.2169,1288534.524
South Gondar ZHD,Estie WorHO,Deskua PHCU,Dagute Health Post,Health Posts,"11,485",3,402202.9557,1284327.46
Dessie Town Woreda WorHO,Dessie PHCU,Dessie Health Center,Dessie Health Center,Health Centers,"32,072",2,569516.2739,1229589.544
South Gondar ZHD,Dera WorHO,Dewol PHCU,Kibeb Health Post,Health Posts,"11,644",3,343100.9347,1278381.08
South Gondar ZHD,Dera WorHO,Dewol PHCU,Dewol Health Center,Health Centers,"11,605",2,346603.3675,1283286.897
South Gondar ZHD,Dera WorHO,Dewol PHCU,Kola Kirkos Health Post,Health Posts,"11,606",3,341633.5366,1284756.179
South Gondar ZHD,Fogera,Diba PHCU,Diba Health Post,Health Posts,"11,330",3,365875.653,1323495.082
South Gondar ZHD,Fogera,Diba PHCU,Diba Health Center,Health Centers,"11,331",2,365905.7808,1323414.584
South Gondar ZHD,Fogera,Diba PHCU,Kokit Health Post,Health Posts,"11,356",3,359482.358,1324507.286
North Gondar ZHD,Debark Zuria WorHO,Dibbahir PHCU,Mikara Health Post,Health Posts,"11,497",3,408710.4937,1269172.381
North Gondar ZHD,Debark Zuria WorHO,Dibbahir PHCU,Dibbahir Health Center,Health Centers,"14,143",3,380150.4284,1464100.577
North Gondar ZHD,Debark Zuria WorHO,Dibbahir PHCU,Kino Mender 1 Health Post,Health Posts,"14,134",3,379351.6319,1448905.272
North Gondar ZHD,Debark Zuria WorHO,Dibbahir PHCU,Wuraba_Dimto Health Post,Health Posts,"14,150",3,375259.8556,1461989.963
North Gondar ZHD,Debark Zuria WorHO,Dibbahir PHCU,Debir Health Post,Health Posts,"14,139",3,382630.9833,1453531.433
North Wollo ZHD,Lasta WorHO,Dibiko PHCU,Dibiko Health Post,Health Posts,"13,113",3,492339.8393,1306541.762
North Wollo ZHD,Lasta WorHO,Dibiko PHCU,Ayidefer Health Post,Health Posts,"13,115",3,499066.1,1313094.328
North Wollo ZHD,Lasta WorHO,Dibiko PHCU,Dibiko Health Center,Health Centers,"13,228",3,507228.4442,1295570.871
East Gojjam ZHD,Bibugn WorHO,Digo Tsion PHCU,Digo Tsion Health Center,Health Centers,"31,347",2,362115.9727,1199026.699
East Gojjam ZHD,Bibugn WorHO,Digo Tsion PHCU,Gena Memcha Health Post,Health Posts,"10,710",3,364213.8471,1208433.631
East Gojjam ZHD,Bibugn WorHO,Digo Tsion PHCU,Bibugn Genete Mariam Health Post,Health Posts,"10,706",3,364126.3036,1195750.351
East Gojjam ZHD,Bibugn WorHO,Digo Tsion PHCU,Debre Zeit Kuchit Health Post,Health Posts,"10,708",3,361486.7428,1196116.28
East Gojjam ZHD,Bibugn WorHO,Digo Tsion PHCU,Digo Kanta Health Post,Health Posts,"10,707",3,361550.1547,1201019.995
East Gojjam ZHD,Bibugn WorHO,Digo Tsion PHCU,Debre Medhanit Kebese Health Post,Health Posts,"10,718",3,358011.8917,1201312.159
Central Gondar ZHD,Takusa WorHO,Dikularba PHCU,Dimbla Agesa Health Post,Health Posts,"13,772",3,260839.8884,1341021.905
Central Gondar ZHD,Takusa WorHO,Dikularba PHCU,Dikularba Health Post,Health Posts,"32,625",3,273411.9977,1339039.872
Central Gondar ZHD,Takusa WorHO,Dikularba PHCU,Goy Health Post,Health Posts,"13,767",3,276204.6607,1336104.086
Central Gondar ZHD,Takusa WorHO,Dikularba PHCU,Dikularba Health Center,Health Centers,"13,511",2,331630.6262,1418429.535
Central Gondar ZHD,Takusa WorHO,Dikularba PHCU,Achera Health Post,Health Posts,"13,765",3,282518.0265,1333996.665
South Wollo ZHD,Borena WorHO,Dil Fire PHCU,Keto Health Post,Health Posts,"11,740",3,478439.8472,1188904.325
South Wollo ZHD,Borena WorHO,Dil Fire PHCU,Chefiebelo Health Post,Health Posts,"11,739",3,477273.5134,1188092.807
South Wollo ZHD,Borena WorHO,Dil Fire PHCU,Chirocherkos Health Post,Health Posts,"11,736",3,484404.8902,1198067.361
South Wollo ZHD,Borena WorHO,Dil Fire PHCU,Anferfira Health Post,Health Posts,"11,748",3,480696.0288,1196466.088
South Wollo ZHD,Borena WorHO,Dil Fire PHCU,Dil Fire Health Center,Health Centers,"11,729",2,481232.6066,1192218.449
North Wollo ZHD,Gidan WorHO,Dildiye PHCU,Wofchat Health Post,Health Posts,"13,161",3,473859.1013,1305706.965
North Wollo ZHD,Gidan WorHO,Dildiye PHCU,Abi tesfaye Health Post,Health Posts,"12,934",3,533003.3943,1351223.765
East Gojjam ZHD,Enemay WorHO,Dimma PHCU,Betemeskel Health Post,Health Posts,"10,622",3,411686.6641,1169060.898
East Gojjam ZHD,Enemay WorHO,Dimma PHCU,Dimma Health Center,Health Centers,"31,316",2,414806.8354,1166504.749
East Gojjam ZHD,Enemay WorHO,Dimma PHCU,Debretsimona Health Post,Health Posts,"10,623",2,421566.8243,1167097.735
Awi ZHD,Banja,Dinkara PHCU,Dinkara Health Center,Health Centers,"30,530",2,255698.4253,1213975.702
Awi ZHD,Banja,Dinkara PHCU,Zik Health Post,Health Posts,"9,351",3,259710.4062,1213204.647
Awi ZHD,Banja,Dinkara PHCU,Bari Health Post,Health Posts,"9,348",3,252383.8547,1218838.394
North Shewa ZHD,Minjarina Shenkora WorHO,Dirie PHCU,Dire Health Post,Health Posts,"9,179",3,566869.9042,994386.9968
North Shewa ZHD,Minjarina Shenkora WorHO,Dirie PHCU,Choba Health Post,Health Posts,"9,170",3,575926.3354,1000228.417
Oromia Special ZHD,Dawa Chefa WorHO,Dodo PHCU,Dodo Health Post,Health Posts,"12,811",3,605180.5803,1176161.544
Oromia Special ZHD,Dawa Chefa WorHO,Dodo PHCU,Dodo Health Center,Health Centers,"12,805",2,599414.0732,1193699.679
Oromia Special ZHD,Dawa Chefa WorHO,Dodo PHCU,Denden Health Post,Health Posts,"12,793",3,597275.2276,1190790.215
Central Gondar ZHD,Tach Armacho WorHO,Dogaw PHCU,Ashere Health Post,Health Posts,"32,592",3,299636.3585,1463394.578
Central Gondar ZHD,Tach Armacho WorHO,Dogaw PHCU,Dogaw Health Post,Health Posts,"13,742",3,291617.2318,1453099.04
Central Gondar ZHD,Tach Armacho WorHO,Dogaw PHCU,Dogaw Health Center,Health Centers,"13,741",2,291284.9454,1453488.978
South Wollo ZHD,Wereilu WorHO,Dollu PHCU,Dollu Health Post,Health Posts,"12,636",3,558764.0471,1196129.275
South Wollo ZHD,Wereilu WorHO,Dollu PHCU,Werebayasu Health Post,Health Posts,"12,639",3,561048.5908,1205839.705
South Wollo ZHD,Wereilu WorHO,Dollu PHCU,Adati Health Post,Health Posts,"12,633",3,554653.4107,1191998.628
South Wollo ZHD,Wereilu WorHO,Dollu PHCU,Gatira Health Post,Health Posts,"12,641",3,561386.2649,1199843.09
West Gondar ZHD,Quara WorHO,Dubaba PHCU,Dubaba Health Center,Health Centers,"32,881",3,169665.2488,1371839.37
West Gondar ZHD,Quara WorHO,Dubaba PHCU,Mert Gelegu Health Post,Health Posts,"14,035",3,146429.1191,1381043.981
West Gondar ZHD,Quara WorHO,Dubaba PHCU,Bignagna Health Post,Health Posts,"14,034",3,164686.6981,1376913.073
Oromia Special ZHD,Dawa Chefa WorHO,Dulecha PHCU,Gur Health Post,Health Posts,"12,772",3,610990.702,1254042.65
Oromia Special ZHD,Dawa Chefa WorHO,Dulecha PHCU,Ademe Health Post,Health Posts,"12,785",3,579503.6052,1192190.807
Oromia Special ZHD,Dawa Chefa WorHO,Dulecha PHCU,Teref Health Post,Health Posts,"12,784",3,586654.7115,1188126.367
West Gojjam ZHD,Debub Achefer WorHO,Durbetie PHCU,Durbetie Health Center,Health Centers,"30,709",2,276970.0811,1256044.591
West Gojjam ZHD,Debub Achefer WorHO,Durbetie PHCU,Ahuri Health Post,Health Posts,"9,653",3,276666.401,1265239.482
South Gondar ZHD,Ebinat,Ebinat PHCU,Jeman Health Post,Health Posts,"32,874",5,191899.2503,1432939.027
South Gondar ZHD,Ebinat,Ebinat PHCU,Mechena Health Post,Health Posts,"11,540",3,396969.8426,1334801.616
South Gondar ZHD,Ebinat,Ebinat PHCU,Deregeha Health Post,Health Posts,"11,538",3,401962.9313,1337875.592
South Gondar ZHD,Ebinat,Ebinat PHCU,Ebinat Health Center,Health Centers,"31,717",2,396713.7773,1339760.61
South Gondar ZHD,Ebinat,Ebinat PHCU,Weftoma Health Post,Health Posts,"11,543",3,388343.5915,1347319.767
South Gondar ZHD,Ebinat,Ebinat PHCU,Debir Abajale Health Post,Health Posts,"11,542",3,395073.3128,1341577.047
South Gondar ZHD,Ebinat,Ebinat PHCU,Wenberoch Health Post,Health Posts,"11,541",3,393820.2257,1345562.428
South Gondar ZHD,Ebinat,Ebinat PHCU,Sarawdi Health Post,Health Posts,"11,556",3,388008.6408,1340018.715
South Wollo ZHD,Werebabo WorHO,Ejeresa PHCU,Ejeresa Health Post,Health Posts,"12,717",3,588374.4275,1264092.092
South Wollo ZHD,Werebabo WorHO,Ejeresa PHCU,Ejeresa Health Center,Health Centers,"12,718",2,588446.9689,1264492.477
South Wollo ZHD,Werebabo WorHO,Ejeresa PHCU,Gendebash Health Post,Health Posts,"12,720",3,588178.6984,1261909.34
South Wollo ZHD,Werebabo WorHO,Ejeresa PHCU,Kuno Health Post,Health Posts,"12,721",3,586936.8021,1259183.917
North Shewa ZHD,Ankober WorHO,Eliko PHCU,Wodera Health Post,Health Posts,"8,683",3,580410.427,1050991.517
