Health Facility name,Facility Type,Ownership,ID,level,Region,Zone,Woreda,PHCU
Engdage Health Post,Health Posts,Public,gdffbxYjk3z,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Eyaho Health Post,Health Posts,Public,qm0xs8Lc2p5,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Godo Molalit Health Post,Health Posts,Public,SbHn5YKr3Um,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Gult Health Post,Health Posts,Public,gzhPayOonN2,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Kiwa Health Post,Health Posts,Public,cxFxNV9EFYJ,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Kuaber Lomiye Health Post,Health Posts,Public,Z7NbsFYT3Xy,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Nara Awdarda Health Post,Health Posts,Public,lNxi3IEPs3M,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Seraba Health Post,Health Posts,Public,u9hFn8ikxRS,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Sertiya Warkage Health Post,Health Posts,Public,CLxVx9FZdyF,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
shumgie Health Post,Health Posts,Public,ysKtRp7JNcy,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Teber serako Health Post,Health Posts,Public,tXVfBhzNNI6,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Tembera Health Post,Health Posts,Public,BJa7LwTjza5,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Vasikni Health Post,Health Posts,Public,awBdrsLnCFV,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Walideba Health Post,Health Posts,Public,gLkdmK5Z7CS,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Aykel PHCU
Aytegeb Primary Clinic,Clinics,Private,nAkZpgdScQa,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Birhanu Primary Clinic,Clinics,Private,ixlFkDOnqVQ,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Bosna Primary Clinic,Clinics,Private,yYvWqe5hYlB,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Chonchok Health Center,Health Centers,Public,mQfP2ElkGgv,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Adis zemen Health Post,Health Posts,Public,S8Q952Mv4Ch,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Adiss alem Health Post,Health Posts,Public,WKGF5RKlRCG,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Chonchock Health Post,Health Posts,Public,ZBMBmoyjrqC,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Jeyd Health Post,Health Posts,Public,iGCuh8LuSdV,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Kushaina Health Post,Health Posts,Public,xV6Kyow8T5j,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Midre Bara Health Post,Health Posts,Public,EZJIoEwjSyW,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Mirtamba Health Post,Health Posts,Public,nhD6AWzgmqL,6,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,Chonchok PHCU
Demoz Primary Clinic,Clinics,Private,EFzPl4HWlsD,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Denkitu Primary Clinic,Clinics,Private,bKYEk2FnivT,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Desta Primary Clinic,Clinics,Private,jC0ixGWsoSR,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Enyew Medium Clinic,Clinics,Private,ooP8iD4NLsk,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Eyayu Primary Clinic,Clinics,Private,tKk3ZCajZTE,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Gebera Medium Clinic,Clinics,Private,OjBexD2fTej,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Gebeyanesh Primary Clinic,Clinics,Private,sCtRY5vNGMN,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Getaw Primary Clinic,Clinics,Private,lRMaZ4aBDuQ,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Hamid Primary Clinic,Clinics,Private,sX3SQRlh8Wi,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Kenaw Primary Clinic ,Clinics,Private,iLHASzmjo6x,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Kidan Mihiret  Primary Clinic,Clinics,Private,kTtfHe1z0UG,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Libanose Primary Clinic,Clinics,Private,DAIG8DI5Ayl,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Mantegebosh Primary Clinic,Clinics,Private,IbOSw8DxOMs,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Mekuanit  Primary Clinic,Clinics,Private,evN3P2yUQhv,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Seid Ali Primary Clinic,Clinics,Private,vA03uGH1uhT,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Tsegaw Primary Clinic,Clinics,Private,wCn1oMe15cl,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Worku Primary Clinic,Clinics,Private,DpNBXhBUooL,5,Amhara Regional Health Bureau,Central Gondar ZHD,Chilga WorHO,
Delgi Primary Hospital,Hospitals,Public,bdLBQvOsXTp,4,Amhara Regional Health Bureau,Central Gondar ZHD,Delgi Primary Hospital,
Dembia Primary Hospital,Hospitals,Public,j7aUGideZdC,4,Amhara Regional Health Bureau,Central Gondar ZHD,Dembia Primary Hospital,
Gohala Health Center,Health Centers,Public,VInwrcScmUh,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Achekan Health Post,Health Posts,Public,NPTYFQhTJfG,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Arefa Healt post,Health Posts,Public,dstybjzMlSa,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Aybashika Health Post,Health Posts,Public,JaEMWSY3XWS,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Bursa Health Post,Health Posts,Public,BZpgcYG4G0e,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Dengora Health Post,Health Posts,Public,Gc71NziXFRC,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Guhala Zuria Health Post,Health Posts,Public,ntDq9rdFRUl,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Woyeba health post,Health Posts,Public,cTNIL1hHA5p,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Zoz Health Post,Health Posts,Public,OE44WZ7smjD,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Gohala PHCU
Hamusit Health Center,Health Centers,Public,vaIagk7kfzi,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU
Aderarua Health Post,Health Posts,Public,WWZsA2q3yhQ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU
Aketie Health Post,Health Posts,Public,pXtVp1nzt60,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU
Azenedela Health post,Health Posts,Public,cULINE5FjEQ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU
Michewa Health Post,Health Posts,Public,vgSigiIahAV,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU
Shamishe  Health Post,Health Posts,Public,WEHDBfmeHKG,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Hamusit PHCU
Kalay Sholit Health Center,Health Centers,Public,eRSkwrcnZF9,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU
Chama Korach Health Post,Health Posts,Public,DLShfdr9F19,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU
Deber Zana Health Post,Health Posts,Public,bX5YKkStEUQ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU
Kalay Sholit Health Post,Health Posts,Public,bbIJ6xzaFVC,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Kalay Sholit PHCU
Mogess Primary Clinic,Clinics,Private,lyaTtIsTnGN,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,
Mukatera Health Center,Health Centers,Public,bcpKPar7eye,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Mukatera PHCU
Cherge Health Post,Health Posts,Public,DdrLorUVUoy,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Mukatera PHCU
Gowa Akotana Health Post,Health Posts,Public,awkh8xTbTZj,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Mukatera PHCU
Kibeza Health Post,Health Posts,Public,KD6D7IgXEuE,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Mukatera PHCU
Mukatera Health Post,Health Posts,Public,ysdivFVZZmn,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Mukatera PHCU
Taymen Health Center,Health Centers,Public,lv55SCmpPPB,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Taymen PHCU
Arba Tsguar Health Post,Health Posts,Public,jpAUie5xLgv,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Taymen PHCU
Degeb Health Post,Health Posts,Public,t6OMLDy8CTm,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Taymen PHCU
Taretarua Health Post,Health Posts,Public,PeATiBTn4wd,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Taymen PHCU
Taymen Health Post,Health Posts,Public,WspTbYxp0Tm,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Taymen PHCU
Tele Health Post,Health Posts,Public,zKAad5y3swJ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,Taymen PHCU
Zozamba Primary Clinic,Clinics,Private,eFsju4ibTYM,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Belesa WorHO,
Abera Borena Melestegna Clinic,Clinics,Private,D3ZCAQWDaGP,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Agegnehu Melestegna Clinic,Clinics,Private,LIRP4kj7YUL,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Aymba Health Center,Health Centers,Public,GG4JXmpEQ9D,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Amba Gualit Health Post,Health Posts,Public,yrtiAxogJs6,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Buasmano Health Post,Health Posts,Public,k7QT7dNCHSP,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Dir Mara Health Post,Health Posts,Public,COf2UPEzbFc,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Gana Health Post,Health Posts,Public,ClNcC5inzfx,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Mekuamia Health Post,Health Posts,Public,HaStIzYo1tG,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Senbet Debir Health Post,Health Posts,Public,k0ZqzJbpTCM,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Simano Health Post,Health Posts,Public,xUwYvO1gkHo,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Aymba PHCU
Banchiamelak Primary Clinic,Clinics,Private,WEXzfFNxtaf,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Dagnew  Primary Clinic,Clinics,Private,UWGPLOVoLSl,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Dereb Primary Clinic,Clinics,Private,oEbgaxzbC3B,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Emeru Primary Clinic,Clinics,Private,bOkXnad6A18,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Ereda Primary Clinic,Clinics,Private,UkZL7OC82fd,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Gerargie Health Center,Health Centers,Public,beuzEeM3NDn,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Gerargie PHCU
Balanigeb Health Post,Health Posts,Public,IJODI2wtvuL,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Gerargie PHCU
Gendiwa Balangeb Health Post,Health Posts,Public,p3g8LxPsf7o,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Gerargie PHCU
Gerarge Health Post,Health Posts,Public,JWDDL1xFYM9,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Gerargie PHCU
Gubiya Health Post,Health Posts,Public,E2eR45AwfT0,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Gerargie PHCU
Sufan Kara Health Post,Health Posts,Public,EKHbI8h3R3L,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Gerargie PHCU
Guramba Health Center,Health Centers,Public,XXYDTFlbDZB,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Guramba PHCU
Guramba Bata Health Post,Health Posts,Public,EPuW8ZQHjGV,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Guramba PHCU
Guramba Mikael Health Post,Health Posts,Public,FBzUlf9GrUD,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Guramba PHCU
Seraba Health Post,Health Posts,Public,vAxDK0r1OT6,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Guramba PHCU
Wekerako Health Post,Health Posts,Public,NiCqBVjqak8,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Guramba PHCU
Kasahun Melestegna Clinic,Clinics,Private,GuUtbZ6awFj,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Koladeba Health Center,Health Centers,Public,xkQzbXG6g5o,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Atakilt Health Post,Health Posts,Public,NGzEitYhnfW,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Barcha Health Post,Health Posts,Public,pjmYXdOthzQ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Fengya Health Post,Health Posts,Public,L8gP0VrnWN9,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Jangua Health Post,Health Posts,Public,VyzsrZNrQic,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Salgi Chulo Health Post,Health Posts,Public,pbJJnkCWxvb,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Wawucha Health Post,Health Posts,Public,DpUl2hABIJ5,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Koladeba PHCU
Mengistu Primary Clinic,Clinics,Private,revNj62uRbz,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Robite Health Center,Health Centers,Public,RP9Scn3LRkJ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Achera Health Post,Health Posts,Public,flb9r8dBkKW,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Adisegie Health Post,Health Posts,Public,XobOrjV7CBq,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Arebia Health Post,Health Posts,Public,STmAgetGsbp,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Debir Zuria Health Post,Health Posts,Public,PCbMjBskkSQ,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Jarjar Health Post,Health Posts,Public,EX3Ixxx8F6S,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Woyina Tana Health Post,Health Posts,Public,rXUp09j1YiB,6,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,Robite PHCU
Tikedem Primary Clinic,Clinics,Private,d8Tcl2zSoF6,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Worku Primary Clinic,Clinics,Private,YYLzXdkr8l7,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Wube Medium Clinic,Clinics,Private,IUDC6ir6kfc,5,Amhara Regional Health Bureau,Central Gondar ZHD,East Dembia WorHO,
Gohalla Primary Hospital,Hospitals,Public,gDbQZaDKZYA,4,Amhara Regional Health Bureau,Central Gondar ZHD,Gohalla Primary Hospital,
Abawarka Health Center,Health Centers,Public,p5Zww1iUzf6,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abawarka PHCU
Abawarka Health Post,Health Posts,Public,BUykWbSj4hU,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abawarka PHCU
Gubay Health Post,Health Posts,Public,nSl8mZcdYw1,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abawarka PHCU
Mitrha Health Post,Health Posts,Public,VBgLauEv0yt,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abawarka PHCU
Abay/ Acham Primary Clinic,Clinics,Private,y03Es09X6ni,5,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,
Abune Semira Health Center,Health Centers,Public,PWC8sj9VWo4,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abune Semira PHCU
Abune Semra Health Post,Health Posts,Public,vJ9HFYUNeh1,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abune Semira PHCU
Aruage Health Post,Health Posts,Public,DgEXL7hQSVv,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abune Semira PHCU
Denkeze Health Post,Health Posts,Public,BcyZ8mOKbi0,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Abune Semira PHCU
Amanual Melestegna Clinic,Clinics,Private,BvvzktjkzaC,5,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,
Ambober Health Center,Health Centers,Public,pzlmAWJIhRK,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Ambober PHCU
Ambober Wuzaba Health Post,Health Posts,Public,ccrNBlt9SVb,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Ambober PHCU
Ayiba Health Post,Health Posts,Public,e6s5XuWW8ca,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Ambober PHCU
Dawa Damot Health Post,Health Posts,Public,Mykh31JUotL,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Ambober PHCU
Sehor Gultoch Health Post,Health Posts,Public,hrLfJlUGDTP,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Ambober PHCU
Degoma Health Center,Health Centers,Public,BADhEWH1U5H,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU
Ambachara Health Post,Health Posts,Public,OKNzsoNkRUg,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU
Meredo Health Post,Health Posts,Public,jkS3a7SDxMg,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU
Shiwana Health Post,Health Posts,Public,suWxwPRfKqq,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU
Yimada Health Post,Health Posts,Public,xmdVNYuhp54,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU
Zantera Health Post,Health Posts,Public,vb1QyNab5xG,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Degoma PHCU
Desta Mekakelegna Clinic,Clinics,Private,GcBjO6US9Vi,5,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,
Enfranz Health Center,Health Centers,Public,YBlTpZpDbUD,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Debre Selam Health Post,Health Posts,Public,ysMK6paZtnY,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Debsan Tkara Health Post,Health Posts,Public,HYymLsUpZB0,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Frka Dangurie Health Post,Health Posts,Public,k9ZpaomsFKu,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Sebha Gebreil Health Post,Health Posts,Public,HB2w6Tdna6M,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Sehor Sarweha Health Post,Health Posts,Public,ZBIiI1EtRcW,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Sendeba Health Post,Health Posts,Public,NCSCULq162s,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Enfranz PHCU
Kidist Arsema Primary Clinic,Clinics,Private,hUC6WWJpR32,5,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,
Lemba Health Center,Health Centers,Public,JZuvBwsBitH,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Lemba PHCU
Layiye Duge Health Post,Health Posts,Public,spNtvNsB7Nu,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Lemba PHCU
Lemba Arbaytu Health Post,Health Posts,Public,Pt7DEEPogpO,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Lemba PHCU
Shiha Gomenge Health Post,Health Posts,Public,jbzf2oUp6BC,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Lemba PHCU
Zengaje Health Post,Health Posts,Public,kiYUD3qskvf,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Lemba PHCU
Maksegnit Health Center,Health Centers,Public,PNO27Ure7He,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Chehera Health Post,Health Posts,Public,BypX8yUMlGo,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Chenchaye Health Post,Health Posts,Public,vdO7NZ5VIP5,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Das Mariam Health Post,Health Posts,Public,QX8XTY60G9R,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Dase Denzaze Health Post,Health Posts,Public,qaSc6xe5MSF,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Degola Health Post,Health Posts,Public,cLBJcHCbVtk,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Jayra Health Post,Health Posts,Public,Wq24QQ4XkGA,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Jeja Behrie Genbe Health Post,Health Posts,Public,bFZMsk84OrW,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Manterno Health Post,Health Posts,Public,nyIXQIsQvzz,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Tsion Seguage Health Post,Health Posts,Public,IrhXBWYWCSZ,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Maksegnit PHCU
Minziro Health Center,Health Centers,Public,luAdxpuueqR,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Birbuaks Health Post,Health Posts,Public,T8IUH0GtyEq,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Hamsa Fejie Jewna Health Post,Health Posts,Public,ulsHENK90F1,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Macha Health Post,Health Posts,Public,brtDsjYFKvq,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Minyichir Gebriel Health Post,Health Posts,Public,oJ4vIlyoGPQ,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Minziro Health Post,Health Posts,Public,HMjeEr0xztN,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Tach Teda Birhala Health Post,Health Posts,Public,UI762P4RKgm,6,Amhara Regional Health Bureau,Central Gondar ZHD,Gondar Zuriya WorHO,Minziro PHCU
Chichikie Health Center,Health Centers,Public,PJ6Mma2is5m,6,Amhara Regional Health Bureau,Central Gondar ZHD,Kinfaze Begela  WorHO,Chichikie PHCU
Chechiho Health Post,Health Posts,Public,VQ12HDd2fW8,6,Amhara Regional Health Bureau,Central Gondar ZHD,Kinfaze Begela  WorHO,Chichikie PHCU
Chichkie Health Post,Health Posts,Public,b3dLCzK3Hwx,6,Amhara Regional Health Bureau,Central Gondar ZHD,Kinfaze Begela  WorHO,Chichikie PHCU
Kenweta Health Post,Health Posts,Public,yppUIuZzA8O,6,Amhara Regional Health Bureau,Central Gondar ZHD,Kinfaze Begela  WorHO,Chichikie PHCU
Robit Health Center,Health Centers,Public,oRfIL24yJyY,6,Amhara Regional Health Bureau,Central Gondar ZHD,Kinfaze Begela  WorHO,Robit PHCU
Abezie Health Post,Health Posts,Public,FaffTXD0miq,6,Amhara Regional Health Bureau,Central Gondar ZHD,Kinfaze Begela  WorHO,Robit PHCU
