ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
Awi ZHD,Dangla Town,Ham 2013 to Sen 2014,159.3,1206.4,26510.5,8422.7,15.3,2,12580.5,1194,523.6,43647.6,20208.3,39620.2,87.1,26.6,5282.6,8009.7,1484,764.9,,6809,2095.7,87.1,10453.2,,,,2095.7,1936.5,3140.5,8422.7,2274.1,6840.6,2095.7,33745.6,28441.8,14462.2,0,4374.6,18034.3,10087.5,5,62187.4,10,0,5,62187.4
Awi ZHD,Dangla Town,Ham 2014 to Sen 2015,164.7,1234.4,27410.5,8707.8,17.5,1.9,13006.3,1234.4,,38751.5,9301.7,34787.2,83.6,,5461.4,8280.8,38751.5,790.8,4371.9,38751.5,2166.7,216.7,10453.2,,,,2166.7,2002,3246.8,8808,2378.2,7072.2,2166.7,32252.2,32040.1,14951.7,0,335.7,50.7,14616,5,64292.3,10,0,5,174.8
Awi ZHD,Dangla Zuria,Ham 2010 to Sen 2011,404.7,3065.6,67364.6,21396.1,47.9,9.5,31967.8,3034,,90650,32701,81261,259.2,,13416,20353.2,,1943.7,,,5230.5,52.2,,,,,5325.3,4914.5,7980.1,21396.1,5777,18039.7,5325.3,80591,77431,36749.2,136625.5,30869.3,45826.3,5879.9,2.5,158021.6,38.6,135898.6,36.2,158021.6
Awi ZHD,Dangla Zuria,Ham 2011 to Sen 2012,411,4921,68445,21744,48.7,10,32477,3082,,92096,33222,82557,263,,13637,20678,,1975,,,5410,53,,,,,5410,4992.8,8106,21744,5871,18328,5410,81876,78665,37335,138803.7,30869.3,46556.9,5879.9,2.5,160541,38.6,135898.6,36.1,160541
Awi ZHD,Dangla Zuria,Ham 2012 to Sen 2013,400,3023.2,66577.2,21150.3,47.4,5,31591,2998.3,,,32315.7,80303.5,235.8,,13265.1,20113.3,4997.1,1927,,14333.1,5262.6,7.4,36316.1,,,,5262.6,4862.8,7885.1,21150.2,5710.6,29982.6,5262.6,,,36316.1,135015.3,30505.5,45286.2,5810.6,2.5,156159.2,38.6,135015.3,36.2,156159.2
Awi ZHD,Dangla Zuria,Ham 2013 to Sen 2014,364.1,2757.9,60603.1,19254.2,35,4.5,28759.1,2729.5,1197,76395.1,26100.6,68268.1,199,94.3,12076,18310.3,2597.4,1748.6,,11917.6,4790.8,199,36316.1,,,,4790.8,4426.9,7179.1,19254.2,5198.6,15637.7,4790.8,72554.5,69606.1,33060.6,0,32168.4,41226.6,892.2,2,142160.6,31,0,29,142160.6
Awi ZHD,Dangla Zuria,Ham 2014 to Sen 2015,366.9,2750.7,61080.7,19404.1,39.1,4.3,28982.9,2750.7,,86352.6,32315.7,77518.7,186.2,,12170,18452.8,86352.6,1762.2,9742.2,86352.6,4828.1,482.8,36316.1,,,,4828.1,4461.2,7235,19627.6,5299.4,15759.4,4828.1,71869.8,71397.2,33317.9,0,32418.8,258.2,899.1,2,143267,31,0,29,890.3
Oromia Special ZHD,Dawa Chefa WorHO,Ham 2010 to Sen 2011,394.9,2990.9,65721.8,20874.3,46.8,9.3,31188.2,2960,,29489,31903.5,79279.4,252.8,,13088.9,19856.8,,1896.3,,,5103,50.9,,,,,5195.5,4794.6,7785.5,20874.3,5636.1,17599.8,5195.5,26216,25188,35853,133293.7,30116.5,44708.7,5736.5,3.7,154168,32.4,132584.5,28.7,154168
Oromia Special ZHD,Dawa Chefa WorHO,Ham 2011 to Sen 2012,134,1601,22265,7073,47.5,3,10565,1003,,29959,10807,26856,86,,4436,6726,,642,,,1760,51.7,,,,,1760,4871.1,2637,7073,1910,5962,1760,26634,25590,12145,135418.8,30116.5,45421.5,5736.5,3.7,52224,32.4,132584.5,28.7,156626
Oromia Special ZHD,Dawa Chefa WorHO,Ham 2012 to Sen 2013,413.6,3126.4,68848.1,21871.7,49,5.2,32668.6,3100.5,,,33418,83042.6,243.8,,13717.6,20799.4,5167.5,1992.8,,14822,5442.1,7.6,37554.8,,,,5442.1,5028.7,8154.1,21871.6,5905.3,31005.3,5442.1,,,37554.8,139620.6,31546.1,46830.9,6008.8,3.7,161485.8,32.4,139620.6,28.7,161485.8
Oromia Special ZHD,Dawa Chefa WorHO,Ham 2013 to Sen 2014,416.9,3157.5,69382.9,22043.7,40,5.2,32925.5,3124.9,1370.4,95683.2,33450.2,88064.5,227.9,96.2,13825.5,20963,3253.2,2001.9,,14926.6,5484.9,227.9,37554.8,,,,5484.9,5068.2,8219.2,22043.7,5951.8,17903.2,5484.9,81578.3,81177.7,37850.2,0,36181.4,47199.2,1668.8,3,162755.9,26,0,23,162755.9
Oromia Special ZHD,Dawa Chefa WorHO,Ham 2014 to Sen 2015,420.4,3151.3,69975.8,22229.9,44.8,4.9,33203.7,3151.3,,98928,33418,88807.6,213.4,,13942.3,21140,98928,2018.8,11160.9,98928,5531.2,553.1,37554.8,,,,5531.2,5110.8,8288.6,22485.9,6071.2,18054.4,5531.2,82336.1,81794.6,38169.9,0,36487.1,338.6,1682.9,3,164130.8,26,0,23,1167.7
Oromia Special ZHD,Dawa Harewa WorHO,Ham 2010 to Sen 2011,131.7,997.2,21913.5,6960.1,15.6,3.1,10399,987,,88440,10637.5,26434,84.3,,4364.2,6620.8,,632.3,,,1701.5,17,,,,,1732.3,1598.7,2595.9,6960.1,1879.2,5868.3,1732.3,78626,75542,11954.4,44443.9,10041.7,14907.2,1912.7,2.5,51404,16.2,44207.4,13.7,51404
Oromia Special ZHD,Dawa Harewa WorHO,Ham 2011 to Sen 2012,401,4801,66776,21214,15.8,9,31686,3007,,89850,32412,80544,257,,13305,20173,,1926,,,5278,17.2,,,,,5278,1624.2,7909,21214,5728,17881,5278,79879,76747,36425,45152.9,10041.7,15145,1912.7,2.5,156626,16.2,44207.4,13.7,52224
Oromia Special ZHD,Dawa Harewa WorHO,Ham 2012 to Sen 2013,132.9,1004.9,22129.7,7030.2,15.7,1.7,10500.6,996.6,,,10741.5,26692.2,78.4,,4409.2,6685.5,1661,640.5,,4764.2,1749.2,2.4,12071.2,,,,1749.2,1616.4,2621,7030.2,1898.1,9966,1749.2,,,12071.2,44878,10139.8,15052.8,1931.4,2.5,51906,16.2,44878,13.7,51906
Oromia Special ZHD,Dawa Harewa WorHO,Ham 2013 to Sen 2014,134.3,1017.1,22350.7,7101,12.9,1.7,10606.5,1006.6,441.5,28258,10091.6,25914.4,73.4,34.7,4453.7,6752.9,960.8,644.9,,4408.2,1766.9,73.4,12071.2,,,,1766.9,1632.7,2647.7,7101,1917.3,5767.2,1766.9,26669.3,25760.1,12192.9,0,11038.6,15204.5,1154.3,2,52429.4,13,0,11,52429.4
Oromia Special ZHD,Dawa Harewa WorHO,Ham 2014 to Sen 2015,135.7,1017.1,22585.6,7175,14.5,1.6,10716.9,1017.1,,31930.3,10741.5,28663.8,68.9,,4500.1,6823.2,31930.3,651.6,3602.3,31930.3,1785.3,178.5,12071.2,,,,1785.3,1649.6,2675.3,7257.6,1959.6,5827.3,1785.3,26575.1,26400.3,12319.9,0,11153.6,35.2,1166.3,2,52975.4,13,0,11,121.4
North Wollo ZHD,Dawunt WorHO,Ham 2010 to Sen 2011,210.5,1594.8,35044,11130.6,24.9,4.9,16630.1,1578.3,,47158,17011.5,42273.1,134.8,,6979.2,10588,,1011.1,,,2721,27.1,,,,,2770.3,2556.6,4151.4,11130.6,3005.3,9384.5,2770.3,41925,40280,19117.4,71074.4,16058.7,23839.5,3058.8,1.2,82205,18.7,70696.3,17.5,82205
North Wollo ZHD,Dawunt WorHO,Ham 2011 to Sen 2012,207,2560,34380,10922,26,5,16313,1548,,46260,16688,41468,132,,6850,10386,,992,,,2718,272,,,,,2718,2511,4072,10922,2949,9206,2718,42593,39514,18753,69721.3,16058.7,23385.6,3058.8,1.2,80640,18.7,70696.3,17.4,80640
North Wollo ZHD,Dawunt WorHO,Ham 2012 to Sen 2013,206.9,1564.3,34447.9,10943.4,24.5,2.6,16345.6,1551.3,,,16720.5,41550,113.1,,6863.6,10406.9,2585.6,997.1,,7416.1,2722.9,3.8,3758.1,,,,2722.9,2516.1,4079.9,10943.4,2954.7,7595.1,2722.9,,,18790.4,69858.6,15783.9,23431.6,3006.5,1.2,80798.7,18.7,69858.6,17.5,80798.7
North Wollo ZHD,Dawunt WorHO,Ham 2013 to Sen 2014,208.2,1576.8,34649.1,11008.4,20,2.6,16442.7,1560.6,684.4,47803.3,17012.2,42757.4,113.8,48,6904.3,10468.7,1625.3,999.7,,7457.3,2739.1,113.8,18790.4,,,,2739.1,2531,4104.6,11008.4,2972.3,8940.7,2739.1,40429.8,40848.9,18902,0,18902,23570.8,0,1,81278.7,15,0,14,81278.7
North Wollo ZHD,Dawunt WorHO,Ham 2014 to Sen 2015,209.6,1571.1,34885.9,11082.6,22.3,2.5,16553.4,1571.1,,49319.7,16720.5,44274.3,106.4,,6950.8,10539.2,49319.7,1006.5,5564.2,49319.7,2757.5,275.8,18790.4,,,,2757.5,2548,4132.2,11210.2,3026.7,9000.9,2757.5,41048,40778,19029.3,0,19029.3,84.3,0,1,81826,15,0,14,290.7
North Gondar ZHD,Debark Town WorHO ,Ham 2010 to Sen 2011,69.1,523.1,11493.9,3650.7,8.2,1.6,5454.4,517.7,,14768,5579.5,13864.9,44.2,,2289.1,3472.7,,331.6,,,892.4,8.9,,,,,908.6,838.5,1361.6,3650.7,985.7,3078,908.6,13129,12614,6270.2,23311.3,5267,7819,1003.2,3.7,26962,3.7,23187.3,0,26962
North Gondar ZHD,Debark Town WorHO ,Ham 2011 to Sen 2012,70,802,11678,3710,8.3,2,5541,526,,15714,5669,14086,45,,2327,3528,,337,,,923,9,,,,,923,851.9,1383,3710,1002,3127,923,13339,13422,6370,23683.1,5267,7943.7,1003.2,3.7,27392,3.7,23187.3,0,27392
North Gondar ZHD,Debark Town WorHO ,Ham 2012 to Sen 2013,84.2,636.1,14008.7,4450.3,10,1.1,6647.2,630.9,,,6799.6,16896.9,49.6,,2791.2,4232.1,1051.5,405.5,,3015.9,1107.3,1.6,7641.4,,,,1107.3,1023.2,1659.1,4450.3,1201.6,6308.7,1107.3,,,7641.4,28409,6418.8,9528.8,1222.6,3.7,32857.9,3.7,28409,0,32857.9
North Gondar ZHD,Debark Town WorHO ,Ham 2013 to Sen 2014,88.5,670.3,14728.6,4679.4,8.5,1.1,6989.4,663.4,290.9,22538.5,7681.4,19650.7,48.4,17.2,2934.9,4450,766.3,425,,3516,1164.3,48.4,7641.4,,,,1164.3,1075.9,1744.8,4679.4,1263.4,3800.5,1164.3,18668.6,15881.2,8034.8,0,0,10019.5,8034.8,3,34549.8,3,0,0,34549.8
North Gondar ZHD,Debark Town WorHO ,Ham 2014 to Sen 2015,92.5,693.6,15401.9,4892.9,9.9,1.1,7308.2,693.6,,21774.3,6799.6,19546.8,47,,3068.7,4653,21774.3,444.3,2456.5,21774.3,1217.4,121.7,7641.4,,,,1217.4,1124.9,1824.3,4949.2,1336.3,3973.8,1217.4,18122.4,18003.2,8401.3,0,0,15.8,8401.3,3,36125.6,3,0,0,54.6
North Gondar ZHD,Debark Zuria WorHO,Ham 2010 to Sen 2011,420.4,3184.1,69968.2,22223.1,49.8,9.8,33203.3,3151.3,,95696,33964.9,84401.7,269.2,,13934.6,21139.8,,2018.8,,,5432.7,54.2,,,,,5531.1,5104.4,8288.5,22223.1,6000.2,18737,5531.1,85077,81741,38169.5,141905.9,32062.4,47597.4,6107.1,0,164129,41.1,141150.9,41.1,164129
North Gondar ZHD,Debark Zuria WorHO,Ham 2011 to Sen 2012,427,5194,71091,22584,50.6,10,33733,3202,,95655,34507,85748,273,,14164,21477,,2051,,,5619,55.1,,,,,5619,5185.8,8420,22584,6098,19036,5619,86433,81706,38778,144168.6,32062.4,48356.3,6107.1,0,166746,41.1,141150.9,41.1,166746
North Gondar ZHD,Debark Zuria WorHO,Ham 2012 to Sen 2013,415.2,3138.1,69107.2,21954,49.2,5.2,32791.5,3112.2,,,33543.7,83355.1,244.8,,13769.2,20877.6,5187,2000.3,,14877.8,5462.5,7.6,37696.1,,,,5462.5,5047.6,8184.8,21953.9,5927.6,31121.9,5462.5,,,37696.1,140145.9,31664.8,47007.1,6031.4,0,162093.4,41.1,140145.9,41.1,162093.4
North Gondar ZHD,Debark Zuria WorHO,Ham 2013 to Sen 2014,417.6,3163.3,69510.9,22084.3,40.1,5.2,32986.3,3130.7,1372.9,88866.6,33082,80568.6,228.3,106.4,13851,21001.7,3021.5,2005.6,,13863.2,5495,228.3,37696.1,,,,5495,5077.6,8234.3,22084.3,5962.8,17936.2,5495,79926.6,83129.7,37920.1,0,37920.1,47286.3,0,0,163056.3,33,0,33,163056.3
North Gondar ZHD,Debark Zuria WorHO,Ham 2014 to Sen 2015,420.4,3151.8,69985.8,22233.1,44.8,4.9,33208.4,3151.8,,98942.1,33543.7,88820.3,213.4,,13944.3,21143.1,98942.1,2019.1,11162.5,98942.1,5532,553.2,37696.1,,,,5532,5111.6,8289.8,22489.1,6072.1,18057,5532,164154.2,81806.3,38175.4,0,38175.4,339.3,0,0,164154.2,33,0,33,1170
East Gojjam ZHD,Debay Tilatgin WorHO,Ham 2010 to Sen 2011,386.4,2926.5,64307.4,20425.1,45.8,9.1,30517,2896.3,,86536,31216.9,77573.1,247.4,,12807.2,19429.5,,1855.5,,,4993.1,49.8,,,,,5083.6,4691.4,7617.9,20425.1,5514.8,17221,5083.6,76934,73917,35081.4,130424.9,29468.4,43746.5,5613,2.5,150850,28.7,129731,26.2,150850
East Gojjam ZHD,Debay Tilatgin WorHO,Ham 2011 to Sen 2012,393,4697,65339,20757,32.2,9,31004,2942,,87916,31715,78810,251,,13018,19739,,1885,,,5165,35.1,,,,,5165,3302,7738,20757,5604,17496,5165,78160,75095,35641,91798.9,29468.4,30790.8,5613,2.5,106175,28.7,129731,26.2,106175
East Gojjam ZHD,Debay Tilatgin WorHO,Ham 2012 to Sen 2013,384.7,2907.6,64030.5,20341.2,45.6,4.8,30382.6,2883.6,,,31079.5,77231.7,210.3,,12757.7,19343.9,4805.9,1853.3,,13784.8,5061.3,253.1,6985.4,,,,5061.3,4676.8,7583.5,20341.2,5492.1,14117.5,5061.3,,,34926.9,129850.6,29338.6,43553.9,5588.3,2.5,150185.7,28.7,129850.6,26.2,150185.7
East Gojjam ZHD,Debay Tilatgin WorHO,Ham 2013 to Sen 2014,387.9,2938.3,64566.3,20513.4,37.3,4.8,30639.8,2908,1275.3,91329.4,34405.4,83023,212,86.2,12865.7,19507.7,3105.2,1862.9,,14247.4,5104.1,212,34926.9,,,,5104.1,4716.4,7648.6,20513.4,5538.6,16660.3,5104.1,75333.3,76124.1,35222.7,0,33185.4,43922.6,2037.3,2,151457.4,23,0,21,151457.4
East Gojjam ZHD,Debay Tilatgin WorHO,Ham 2014 to Sen 2015,391.4,2934.1,65152.6,20697.7,41.7,4.6,30915,2934.1,,92109.2,31079.5,82686.4,198.7,,12981.3,19682.9,92109.2,1879.7,10391.6,92109.2,5150,515,34926.9,,,,5150,4758.6,7717.3,20936,5652.7,16810,5150,8838.9,76156.8,35539,0,33483.5,293.4,2055.6,2,152817.8,23,0,21,1011.7
Debere Birhan THO,Debere Birhan THO,Ham 2010 to Sen 2011,241.6,1830.2,40217.1,12773.6,28.6,5.7,19085,1811.3,,54119,19522.7,48513.4,154.7,,8009.5,12151,,1160.4,,,3122.7,31.2,,,,,3179.3,2934,4764.2,12773.6,3448.9,10769.9,3179.3,48113,46227,21939.5,81566.4,18429.2,27358.6,3510.3,11.2,94340,17.5,81132.4,6.2,94340
Debere Birhan THO,Debere Birhan THO,Ham 2011 to Sen 2012,245,2938,40862,12981,30,6,19389,1840,,54982,19834,49287,157,,8142,12345,,1179,,,3230,323,,,,,3230,2984,4840,12981,3505,10942,3230,48880,46964,22289,82866.7,18429.2,27794.8,3510.3,11.2,95844,17.4,81132.4,6.2,95844
Debere Birhan THO,Debere Birhan THO,Ham 2012 to Sen 2013,308.4,2330.9,51331.2,16306.9,36.5,3.9,24356.8,2311.7,,,24915.5,61914.2,181.8,,10227.5,15507.4,3852.8,1485.7,,11050.9,4057.5,5.7,27999.8,,,,4057.5,3749.2,6079.5,16306.9,4402.9,23116.7,4057.5,,,27999.8,104097.2,23519.9,34915.8,4480,11.2,120399.2,11.2,104097.2,0,120399.2
Debere Birhan THO,Debere Birhan THO,Ham 2013 to Sen 2014,500.9,3794.2,83374.2,26488.9,48.1,6.3,39565.1,3755.1,1646.8,137158.1,57138.1,122706.7,273.8,83.8,16613.5,25190.2,4663.4,2405.6,,21396.7,6590.9,273.8,27999.8,,,,6590.9,6090.2,9876.6,26488.9,7152,21513.4,6590.9,102776.3,92800,45482.9,0,13578.3,56717.1,31904.6,9,195576.3,14,0,0,195576.3
Debere Birhan THO,Debere Birhan THO,Ham 2014 to Sen 2015,517.9,3882.7,86217.6,27389.6,55.2,6.1,40910.4,3882.7,,121889.7,24915.5,109420.3,262.9,,17178.4,26046.7,121889.7,2487.4,13751.4,121889.7,6815,681.5,27999.8,,,,6815,6297.1,10212.4,27705,7480.4,22244.9,6815,101446.7,100779.6,47029.4,0,14040,501.4,32989.4,9,202226.3,14,0,0,1728.8
East Gojjam ZHD,Debre Elias WorHO,Ham 2010 to Sen 2011,267.7,2027.5,44551.8,14150.4,31.7,6.3,21142,2006.6,,59952,21626.9,53742.2,171.4,,8872.7,13460.6,,1285.4,,,3459.2,34.5,,,,,3521.9,3250.2,5277.7,14150.4,3820.6,11930.6,3521.9,53299,51209,24304.2,90357.6,20415.5,30307.3,3888.7,6.2,104508,26.2,89876.9,19.9,104508
East Gojjam ZHD,Debre Elias WorHO,Ham 2011 to Sen 2012,272,3254,45267,14380,33.6,6,21479,2039,,60908,21972,54599,174,,9019,13675,,1306,,,3578,36.5,,,,,3578,3441.2,5361,14380,3883,12121,3578,54149,52026,24692,95666.3,20415.5,32087.9,3888.7,6.2,106175,26.2,89876.9,19.9,110648
East Gojjam ZHD,Debre Elias WorHO,Ham 2012 to Sen 2013,274.1,2072,45628.4,14495.3,32.5,3.4,21650.8,2054.8,,,22147.4,55035.7,149.8,,9091.2,13784.6,3424.7,1320.7,,9823.2,3606.7,180.3,4977.8,,,,3606.7,3332.7,5404,14495.2,3913.7,10060.2,3606.7,,,24889.1,92532.2,20906.8,31036.7,3982.3,6.2,107023.1,26.2,92532.2,19.9,107023.1
East Gojjam ZHD,Debre Elias WorHO,Ham 2013 to Sen 2014,277.9,2105.1,46258.2,14696.7,26.7,3.5,21951.8,2083.4,913.7,61383.4,22418.4,56378.3,151.9,67.6,9217.6,13976.2,2087,1334.7,,9575.8,3656.8,151.9,32324.6,,,,3656.8,3379,5479.8,14696.7,3968.1,11936.2,3656.8,54854.6,53656.4,25235.1,0,20660.9,31468.2,4574.2,5,108511,21,0,16,108511
East Gojjam ZHD,Debre Elias WorHO,Ham 2014 to Sen 2015,281.7,2112.1,46900.3,14899.3,30,3.3,22254.3,2112.1,,66305,22147.4,59522,143,,9344.6,14168.8,66305,1353.1,7480.4,66305,3707.2,370.7,24889.1,,,,3707.2,3425.5,5555.3,15070.9,4069.1,12100.7,3707.2,19940,54821.6,25582.8,0,20945.6,151.3,4637.2,5,110006.2,21,0,16,521.8
Debre Markos THO,Debre Markos THO,Ham 2010 to Sen 2011,278.9,2112.9,46429.2,14746.7,33,6.5,22032.9,2091.1,,62478,22538.2,56006.9,178.6,,9246.6,14027.9,,1339.6,,,3605,36,,,,,3670.3,3387.2,5500.1,14746.7,3981.6,12433.4,3670.3,55545,53367,25328.4,94165.3,21275.8,31584.5,4052.5,13.7,108912,13.7,93664.3,0,108912
Debre Markos THO,Debre Markos THO,Ham 2011 to Sen 2012,283,3391,47174,14986,46.5,7,22384,2124,,63474,22898,56900,181,,9399,14251,,1361,,,3729,50.6,,,,,3729,4766,5587,14986,4046,12632,3729,56430,54218,25732,132504.3,21275.8,44444,4052.5,13.7,153255,13.7,93664.3,0,153255
Debre Markos THO,Debre Markos THO,Ham 2012 to Sen 2013,356,2691,59259.7,18825.6,42.2,4.4,28118.8,2668.7,,,28763.9,71477.3,194.6,,11807.2,17902.6,4447.9,1715.2,,12757.8,4684.2,234.2,6464.9,,,,4684.2,4328.3,7018.5,18825.6,5082.9,13065.6,4684.2,,,32324.6,120175.6,27152.6,40308.7,5171.9,13.7,138995.7,13.7,120175.6,0,138995.7
Debre Markos THO,Debre Markos THO,Ham 2013 to Sen 2014,458.6,3473.4,76325.1,24249.3,44,5.7,36220,3437.6,1507.5,131945.5,60642.6,120681.7,250.7,67.5,15208.9,23060.5,4486.1,2202.2,,20583.5,6033.7,250.7,24889.1,,,,6033.7,5575.3,9041.6,24249.3,6547.3,19694.5,6033.7,94833.8,84207.1,41637.4,0,7648.4,51921.9,33989,11,179040.9,11,0,0,179040.9
Debre Markos THO,Debre Markos THO,Ham 2014 to Sen 2015,476.2,3569.8,79268.9,25182.2,50.8,5.6,37613.2,3569.8,,112066.1,28763.9,100601.6,241.7,,15793.9,23947.5,112066.1,2286.9,12643.1,112066.1,6265.8,626.6,32324.6,,,,6265.8,5789.6,9389.4,25472.1,6877.5,20452.1,6265.8,151774.8,92657.3,43239.1,0,7942.6,422,35296.5,11,185928,11,0,0,1455.1
Debretabor THO,Debretabor THO,Ham 2010 to Sen 2011,216.1,1637,35972,11425.3,25.6,5.1,17070.5,1620.1,,48406,17462,43392.6,138.4,,7164,10868.4,,1037.9,,,2793,27.9,,,,,2843.7,2624.3,4261.3,11425.3,3084.8,9633,2843.7,43035,41347,19623.7,72956.7,16483.9,24470.8,3139.8,7.5,84382,7.5,72568.5,0,84382
Debretabor THO,Debretabor THO,Ham 2011 to Sen 2012,220,2628,36549,11611,26,5,17343,1646,,49178,17740,44084,141,,7282,11042,,1054,,,2889,28.3,,,,,2889,2666.1,4329,11611,3135,9787,2889,43721,42006,19937,74119.6,16483.9,24860.8,3139.8,7.5,85727,7.5,72568.5,0,85727
Debretabor THO,Debretabor THO,Ham 2012 to Sen 2013,171.6,1297.2,28566.6,9075.1,20.3,2.1,13554.9,1286.5,,,13865.9,34456.2,93.8,,5691.7,8630.1,2144.1,826.8,,6150,2258,3.2,15582.3,,,,2258,2086.5,3383.3,9075,2450.3,12864.8,2258,,,15582.3,57931.7,13089.2,19431.2,2493.2,7.5,67004.1,7.5,57931.7,0,67004.1
Debretabor THO,Debretabor THO,Ham 2013 to Sen 2014,290,2196.8,48272,15336.5,27.9,3.6,22907.4,2174.1,953.4,80678.4,39361.7,73896.9,158.5,46.7,9618.9,14584.7,2743.1,1392.8,,12585.8,3816,158.5,15582.3,,,,3816,3526.1,5718.4,15336.5,4140.9,12455.8,3816,59016,54218.8,26333.7,0,0,32838.1,26333.7,6,113234.9,6,0,0,113234.9
Debretabor THO,Debretabor THO,Ham 2014 to Sen 2015,303.2,2273.3,50478.6,16036,32.3,3.6,23952.2,2273.3,,71363.8,13865.9,64063.3,153.9,,10057.6,15249.8,71363.8,1456.3,8051.1,71363.8,3990.1,399,15582.3,,,,3990.1,3686.8,5979.2,16220.7,4379.6,13023.9,3990.1,59394.9,59004.3,27534.7,0,0,170,27534.7,6,118399.2,6,0,0,586
North Gojjam ZHD,Debub Achefer WorHO,Ham 2010 to Sen 2011,420.4,3184.2,69969.9,22223.6,49.8,9.8,33204.1,3151.4,,94156,33965.7,84403.8,269.2,,13934.9,21140.3,,2018.8,,,5432.8,54.2,,,,,5531.3,5104.5,8288.7,22223.6,6000.4,18737.4,5531.3,83708,80425,38170.5,141909.4,32063.2,47598.6,6107.3,2.5,164133,28.7,141154.4,26.2,164133
North Gojjam ZHD,Debub Achefer WorHO,Ham 2011 to Sen 2012,427,5111,71092,22585,50.6,10,33734,3202,,95657,34507,85750,273,,14165,21477,,2051,,,5619,55.1,,,,,5619,5185.9,8420,22585,6098,19037,5619,85043,81708,38779,144172.1,32063.2,48357.5,6107.3,2.5,166750,28.7,141154.4,26.2,166750
North Gojjam ZHD,Debub Achefer WorHO,Ham 2012 to Sen 2013,429.7,3247.8,71523.1,22721.5,50.9,5.4,33937.9,3221,,,34716.4,86269.1,253.3,,14250.6,21607.5,5368.3,2070.2,,15397.9,5653.5,7.9,39014,,,,5653.5,5224,8470.9,22721.4,6134.8,32209.9,5653.5,,,39014,145045.4,32771.7,48650.4,6242.2,2.5,167760.1,28.7,145045.4,26.2,167760.1
North Gojjam ZHD,Debub Achefer WorHO,Ham 2013 to Sen 2014,435.5,3298.6,72484.5,23029.1,41.8,5.4,34397.4,3264.6,1431.7,95235.1,37979.5,88251.9,238,107.3,14443.6,21900.1,3238,2091.4,,14856.7,5730.1,238,39014,,,,5730.1,5294.8,8586.6,23029.1,6217.9,18703.5,5730.1,87975.9,82055.7,39542.2,142826.5,32698.1,49309.2,6844.1,2,170031.6,23,0,21,170031.6
North Gojjam ZHD,Debub Achefer WorHO,Ham 2014 to Sen 2015,441.3,3308.6,73467.5,23339.2,47,5.2,34860.4,3308.6,,103864.3,34716.4,93238.9,224,,14638,22194.9,103864.3,2119.5,11717.8,103864.3,5807.2,580.7,39014,,,,5807.2,5365.9,8702.2,23607.9,6374.1,18955.3,5807.2,86444.5,85876,40074.5,1075.8,33138.3,371.4,6936.2,2,172320.5,23,0,21,1280.8
North Gojjam ZHD,Debub Mecha WorHO,Ham 2010 to Sen 2011,259.6,1966.1,43202.5,13721.8,30.7,6.1,20501.7,1945.8,,,20971.9,52114.6,166.2,,8604,13053,,1246.5,,,3354.5,33.5,,,,,3415.3,3151.8,5117.8,13721.8,3704.9,11569.3,3415.3,,,23568.1,87621.2,19797.2,29389.5,3770.9,5,101343,21.2,87155,16.2,101343
North Gojjam ZHD,Debub Mecha WorHO,Ham 2011 to Sen 2012,235,0,39093,12419,27.8,6,18549,1761,,52600,18975,47152,150,,7789,11810,,1128,,,3090,30.3,,,,,3090,2851.7,4630,12419,3353,10468,3090,46763,44930,21324,79277.8,19797.2,26591,3770.9,5,91693,21.2,87155,16.2,91693
